ninja: Entering directory `G:\mobile_league_game\proj.android\app\.cxx\cmake\debug\armeabi-v7a'
[1/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/2d/CCParallaxNode.cpp.o
[2/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/2d/CCNodeGrid.cpp.o
[3/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/2d/CCProtectedNode.cpp.o
[4/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/2d/CCParticleExamples.cpp.o
[5/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/2d/CCProgressTimer.cpp.o
[6/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/2d/CCMotionStreak.cpp.o
[7/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/2d/CCSpriteFrame.cpp.o
[8/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/2d/CCMenuItem.cpp.o
[9/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/2d/CCParticleBatchNode.cpp.o
[10/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/2d/CCSpriteBatchNode.cpp.o
[11/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/2d/CCMenu.cpp.o
[12/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/2d/CCAutoPolygon.cpp.o
[13/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/2d/CCSprite.cpp.o
[14/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/2d/CCScene.cpp.o
[15/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/2d/CCParticleSystem.cpp.o
[16/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/2d/CCParticleSystemQuad.cpp.o
[17/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/2d/CCTweenFunction.cpp.o
[18/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/2d/CCTMXObjectGroup.cpp.o
[19/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/2d/CCTransitionPageTurn.cpp.o
[20/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/2d/CCTMXTiledMap.cpp.o
[21/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/2d/CCRenderTexture.cpp.o
[22/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/3d/CCAABB.cpp.o
[23/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/2d/CCNode.cpp.o
[24/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/2d/CCTMXLayer.cpp.o
[25/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/2d/CCTileMapAtlas.cpp.o
[26/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/3d/CCAttachNode.cpp.o
[27/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/2d/CCTextFieldTTF.cpp.o
[28/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/2d/CCTMXXMLParser.cpp.o
[29/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/2d/CCTransitionProgress.cpp.o
[30/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/3d/CCPlane.cpp.o
[31/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/3d/CCBillBoard.cpp.o
[32/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/3d/CCBundle3DData.cpp.o
[33/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/2d/CCSpriteFrameCache.cpp.o
[34/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/3d/CCOBB.cpp.o
[35/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/3d/CCMeshSkin.cpp.o
[36/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/3d/CCAnimation3D.cpp.o
[37/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/3d/CCBundleReader.cpp.o
[38/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/3d/CCFrustum.cpp.o
[39/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/3d/CC3DProgramInfo.cpp.o
[40/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/3d/CCAnimate3D.cpp.o
[41/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/3d/CCMotionStreak3D.cpp.o
[42/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/3d/CCRay.cpp.o
[43/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/3d/CCMeshVertexIndexData.cpp.o
[44/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/3d/CCSkeleton3D.cpp.o
[45/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/3d/CCVertexAttribBinding.cpp.o
[46/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/2d/CCTransition.cpp.o
[47/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/platform/android/CCEnhanceAPI-android.cpp.o
[48/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/platform/android/CCApplication-android.cpp.o
[49/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/3d/CCBundle3D.cpp.o
[50/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/3d/CCObjLoader.cpp.o
[51/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/3d/CCSkybox.cpp.o
[52/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/3d/CCMesh.cpp.o
[53/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/platform/android/CCGLViewImpl-android.cpp.o
[54/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/3d/CCSprite3DMaterial.cpp.o
[55/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/platform/android/CCCommon-android.cpp.o
[56/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/platform/android/CCFileUtils-android.cpp.o
[57/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/platform/CCGLView.cpp.o
[58/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/platform/CCSAXParser.cpp.o
[59/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/3d/CCTerrain.cpp.o
[60/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/physics/CCPhysicsContact.cpp.o
[61/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/physics/CCPhysicsBody.cpp.o
[62/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/physics/CCPhysicsShape.cpp.o
[63/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/3d/CCSprite3D.cpp.o
[64/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/physics/CCPhysicsWorld.cpp.o
[65/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/physics3d/CCPhysics3D.cpp.o
[66/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/platform/CCImage.cpp.o
[67/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/physics3d/CCPhysics3DComponent.cpp.o
[68/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/math/CCGeometry.cpp.o
[69/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/math/CCVertex.cpp.o
[70/674] Building CXX object engine/cocos/core/CMakeFiles/cocos2d.dir/math/CCAffineTransform.cpp.o
